model,ai_coef,ai_se,ai_pvalue,n_obs,r2_within
ai_hc_interact_fe,-0.015070617830987967,0.006014572933795703,0.012334080272622616,1545,-0.09304550205899043
covid_interact_fe,-0.003489295679912006,0.0032999386848201564,0.29051944895622683,1545,-0.037782924382547156
no_covid_fe,-0.002535234187900956,0.003147149956106353,0.42065594900758674,1320,-0.08093075576261688
post_2020_fe,0.0024168012875256896,0.001589538028411094,0.12925849486618035,492,-0.12576335102951686
post_chatgpt_fe,-0.004421194952334736,0.0043529899377680115,0.3137989209492902,164,0.3077521592507736
pre_2020_fe,-0.006405261637247405,0.003004628528519461,0.03328841650798453,1053,-0.0456960820926513
solow_excl_fe,-0.00695792172676243,0.0034344006620342453,0.04309730831737446,925,-0.04671087866505852
